verb,num_samples,green_count,green_rate,mean_p_tool
Set,164,162,0.9878048780487805,0.9766802558130244
Record,164,162,0.9878048780487805,0.9732910040624031
Populate,164,162,0.9878048780487805,0.9396551656536758
Return,164,161,0.9817073170731707,0.963612711693092
Deliver,164,161,0.9817073170731707,0.946336714459992
Offer,164,161,0.9817073170731707,0.9384368530860762
Fill,164,161,0.9817073170731707,0.9289310596792436
Outline,164,161,0.9817073170731707,0.8857553521761807
Output,164,159,0.9695121951219512,0.944611808422828
Update,164,159,0.9695121951219512,0.9281336507093084
Illustrate,164,159,0.9695121951219512,0.9137165092738209
Generate,164,158,0.9634146341463414,0.9276318494173721
Script,164,158,0.9634146341463414,0.9184082087935743
Revise,164,158,0.9634146341463414,0.8958017439771783
Prepare,164,157,0.9573170731707317,0.8964436794766942
Edit,164,156,0.9512195121951219,0.8902261979563474
Produce,164,156,0.9512195121951219,0.8748280736390592
Draft,164,154,0.9390243902439024,0.873649105761859
Present,164,153,0.9329268292682927,0.8753079220208214
Create,164,153,0.9329268292682927,0.8732357417054406
Clarify,164,151,0.9207317073170732,0.8458032923637536
Report,164,148,0.9024390243902439,0.8567560382818955
Write,164,147,0.8963414634146342,0.7713308039210238
Complete,164,141,0.8597560975609756,0.7777703190559561
Refactor,164,137,0.8353658536585366,0.7630883455460606
Finish,164,137,0.8353658536585366,0.7454777461257991
Code,164,135,0.823170731707317,0.7525221861196325
Construct,164,134,0.8170731707317073,0.7445582274859345
Show,164,134,0.8170731707317073,0.7279689323410243
Elaborate,164,133,0.8109756097560976,0.6698252102725701
Define,164,118,0.7195121951219512,0.6514387860888524
Document,164,118,0.7195121951219512,0.6377221679687364
Craft,164,116,0.7073170731707317,0.6363460703393751
Derive,164,116,0.7073170731707317,0.6136411342333536
Specify,164,115,0.7012195121951219,0.6519264161365643
Provide,164,114,0.6951219512195121,0.5981492510226217
Propose,164,114,0.6951219512195121,0.5923280072882601
Establish,164,110,0.6707317073170732,0.591178725514754
Demonstrate,164,107,0.6524390243902439,0.5830616605996356
Compose,164,106,0.6463414634146342,0.5887768826165919
Implement,164,102,0.6219512195121951,0.5701869913929464
Give,164,100,0.6097560975609756,0.489295035346891
Supply,164,98,0.5975609756097561,0.5445363873352729
Formulate,164,87,0.5304878048780488,0.4806116822887899
Build,164,85,0.5182926829268293,0.4768759663402002
Author,164,84,0.5121951219512195,0.49487227393391514
Summarize,164,81,0.49390243902439024,0.46435091806566187
Develop,164,77,0.4695121951219512,0.4552057922896227
Program,164,76,0.4634146341463415,0.43076972608500896
Compute,164,64,0.3902439024390244,0.3400246046433733
Detail,164,60,0.36585365853658536,0.3123912363709412
Suggest,164,45,0.27439024390243905,0.2584062361247903
Calculate,164,30,0.18292682926829268,0.16980916990437653
Determine,164,28,0.17073170731707318,0.17982366946681008
State,164,27,0.16463414634146342,0.16022105511034632
Solve,164,27,0.16463414634146342,0.1558445335673666
Infer,164,23,0.1402439024390244,0.15281127878175457
Explain,164,16,0.0975609756097561,0.1118255330951321
Describe,164,12,0.07317073170731707,0.085045795058867
Find,164,8,0.04878048780487805,0.06554328897448605
